name,phone,website,email,email_verification,founder,district,source,email_source
Crystal Proje Yatırım A.Ş.,+90 540 658 53 30,,servis@crystalprojeyat.org.tr,BAD,Can Korkmaz,Adalar,Generated Database,Generated
Bizim Sales İnş. San. Tic. Ltd. Şti.,+90 530 799 82 63,https://www.bizimsalesinssa.com.tr,satis@bizimsalesinssa.com.tr,BAD,Ayşe Doğan,Adalar,Generated Database,Generated
Beyoğlu Danışmanlık San. Tic. A.Ş.,+90 530 369 67 42,,mudur@beyogludanisman.info.tr,BAD,,Adalar,Generated Database,Generated
Platinum Yatırım İnş. San. Tic. Ltd. Şti.,+90 543 785 43 62,https://www.platinumyatirim.com.tr,contact@platinumyatirim.com.tr,BAD,Ayşe Kara,Adalar,Generated Database,Generated
Next Gayrimenkul Gayrimenkul A.Ş.,+90 534 438 48 49,https://www.nextas.org.tr,general@nextas.org.tr,BAD,,Adalar,Generated Database,Generated
River Proje İnş. San. Tic. Ltd. Şti.,+90 543 105 25 59,,office1@riverprojeinsst.com,BAD,,Adalar,Generated Database,Generated
Forest Yuva Consulting Ltd. Şti.,+90 212 871 27 39,https://www.forestyuvaconsu.com.tr,support@forestyuvaconsu.com.tr,BAD,Tülay Güler,Adalar,Generated Database,Generated
Endüstri Satış Ltd.,+90 538 788 88 35,https://www.endustrisatis.net.tr,support@endustrisatis.net.tr,BAD,,Adalar,Generated Database,Generated
Innovation Our Project Yatırım A.Ş.,+90 531 804 46 40,https://www.innovationourpr.info.tr,info@innovationourpr.info.tr,BAD,,Adalar,Generated Database,Generated
Nehir Kiralama,+90 547 282 54 42,,sales@nehirkiralama.org.tr,BAD,Abdullah Işık,Adalar,Generated Database,Generated
Valley Proje A.Ş.,+90 540 397 69 79,,musteri@valleyprojeas.net.tr,BAD,İbrahim Korkmaz,Adalar,Generated Database,Generated
Nehir Proje A.Ş.,+90 531 145 18 77,https://www.nehirprojeas.com,musteri@nehirprojeas.com,BAD,Erkan Koç,Adalar,Generated Database,Generated
