name,phone,website,founder,district,source
Crystal Proje Yatırım A.Ş.,+90 540 658 53 30,,Can Korkmaz,Adalar,Generated Database
Bizim Sales İnş. San. Tic. Ltd. Şti.,+90 530 799 82 63,https://www.bizimsalesinssa.com.tr,Ayşe Doğan,Adalar,Generated Database
Platinum Yatırım İnş. San. Tic. Ltd. Şti.,+90 543 785 43 62,https://www.platinumyatirim.com.tr,Ayşe Kara,Adalar,Generated Database
Forest Yuva Consulting Ltd. Şti.,+90 212 871 27 39,https://www.forestyuvaconsu.com.tr,Tülay Güler,Adalar,Generated Database
Beyoğlu Danışmanlık San. Tic. A.Ş.,+90 530 369 67 42,,,Adalar,Generated Database
Next Gayrimenkul Gayrimenkul A.Ş.,+90 534 438 48 49,https://www.nextas.org.tr,,Adalar,Generated Database
Endüstri Satış Ltd.,+90 538 788 88 35,https://www.endustrisatis.net.tr,,Adalar,Generated Database
River Proje İnş. San. Tic. Ltd. Şti.,+90 543 105 25 59,,,Adalar,Generated Database
Nehir Proje A.Ş.,+90 531 145 18 77,https://www.nehirprojeas.com,Erkan Koç,Adalar,Generated Database
Innovation Our Project Yatırım A.Ş.,+90 531 804 46 40,https://www.innovationourpr.info.tr,,Adalar,Generated Database
Sağlam Real Estate İnş. San. Tic. Ltd. Şti.,+90 216 605 71 21,https://www.saglaminssantic.org.tr,,Adalar,Generated Database
Nehir Kiralama,+90 547 282 54 42,,Abdullah Işık,Adalar,Generated Database
Valley Proje A.Ş.,+90 540 397 69 79,,İbrahim Korkmaz,Adalar,Generated Database
Taksim Konsultant İnşaat Ltd. Şti.,+90 549 654 86 74,https://www.taksimkonsultan.com.tr,Efe Şahin,Adalar,Generated Database
Digital Geliştirme İnş. San. Tic. Ltd. Şti.,+90 542 984 45 35,https://www.digitalgelistir.com,,Adalar,Generated Database
Superior Rental A.Ş.,+90 544 479 12 61,,İbrahim Koç,Adalar,Generated Database
Prima Geliştirme A.Ş.,+90 548 889 44 11,,Hasan Öztürk,Adalar,Generated Database
Select Trust Emlak A.Ş.,+90 212 677 31 15,,Mustafa Aslan,Adalar,Generated Database
Korporat Bosphorus Kiralama,+90 212 729 45 91,https://www.korporatbosphor.info.tr,Fatih Polat,Adalar,Generated Database
Karadeniz Proje San. Tic. A.Ş.,+90 534 246 18 12,https://www.karadenizprojes.net.tr,Burak Çelik,Adalar,Generated Database
Marmara Halk Yatırım Ltd.,+90 541 209 91 83,,Erkan Polat,Adalar,Generated Database
Ege Sales San. Tic. A.Ş.,+90 546 900 37 48,https://www.egesalessantica.com.tr,İbrahim Demir,Adalar,Generated Database
Luxury Proje Ltd.,+90 540 691 54 66,https://www.luxuryproje.org.tr,,Adalar,Generated Database
Future Excellence Proje,+90 216 895 17 38,https://www.futureexcellenc.net.tr,,Adalar,Generated Database
Finest Kiralama Gayrimenkul A.Ş.,+90 533 734 81 79,,,Adalar,Generated Database
Göl Yatırım İnş. San. Tic. Ltd. Şti.,+90 216 992 56 87,https://www.golyatiriminssa.com,Kaan Doğan,Adalar,Generated Database
Kalkınma İleriye Danışmanlık A.Ş.,+90 530 338 58 86,https://www.kalkinmaileriye.net.tr,,Arnavutköy,Generated Database
