Recipe Name,Category,Region,Ingredients,Instructions,Prep Time,Cook Time,Total Time,Servings,Difficulty,Notes
Spaghetti Carbonara,Pasta,Lazio,"400g spaghetti, 200g guanciale or pancetta, 4 large eggs, 100g Pecorino Romano cheese (grated), freshly ground black pepper, salt","1. Bring a large pot of salted water to boil. Cook spaghetti until al dente. 2. Cut guanciale into small cubes and cook in a large pan until crispy. 3. Beat eggs with grated Pecorino and black pepper in a bowl. 4. Drain pasta, reserving 1 cup pasta water. 5. Add hot pasta to pan with guanciale. Remove from heat. 6. Quickly mix in egg mixture, adding pasta water as needed to create creamy sauce. 7. Serve immediately with extra Pecorino and pepper.",15 min,15 min,30 min,4,Medium,"Never add cream to authentic Carbonara. The creaminess comes from the eggs and cheese."
Margherita Pizza,Pizza,Campania,"300g pizza dough, 200g San Marzano tomatoes (crushed), 200g fresh mozzarella, fresh basil leaves, extra virgin olive oil, salt","1. Preheat oven to 250°C (482°F). 2. Roll out pizza dough on floured surface. 3. Spread crushed tomatoes evenly, leaving 2cm border. 4. Add torn mozzarella pieces. 5. Drizzle with olive oil and sprinkle with salt. 6. Bake 10-12 minutes until crust is golden and cheese is bubbly. 7. Top with fresh basil leaves before serving.",20 min,12 min,32 min,2,Easy,"Use the best quality San Marzano tomatoes and fresh mozzarella for authentic taste."
Risotto Milanese,Risotto,Lombardy,"320g Arborio rice, 1L beef or vegetable stock, 1 onion (finely chopped), 100ml dry white wine, pinch of saffron, 50g butter, 80g Parmigiano-Reggiano (grated), salt, pepper","1. Heat stock in a saucepan, add saffron and keep warm. 2. Melt half the butter in heavy-bottomed pan, sauté onion until translucent. 3. Add rice, stir 2 minutes until coated. 4. Add wine, stir until absorbed. 5. Add warm stock one ladle at a time, stirring constantly until absorbed before adding more. 6. Continue for 18-20 minutes until rice is creamy but al dente. 7. Remove from heat, stir in remaining butter and Parmigiano. 8. Season and serve immediately.",10 min,25 min,35 min,4,Hard,"Stir constantly and be patient. The rice should be creamy outside but still have a slight bite."
Tiramisu,Dolci,Veneto,"6 egg yolks, 75g sugar, 500g mascarpone, 3 egg whites, 300ml strong coffee (cooled), 3 tbsp coffee liqueur (optional), 2 packets ladyfinger cookies, unsweetened cocoa powder","1. Whisk egg yolks and sugar until thick and pale. 2. Add mascarpone and beat until smooth. 3. In separate bowl, whisk egg whites to soft peaks. 4. Gently fold egg whites into mascarpone mixture. 5. Combine coffee and liqueur in shallow dish. 6. Quickly dip each ladyfinger in coffee mixture and arrange in single layer in dish. 7. Spread half the mascarpone mixture over cookies. 8. Repeat layers. 9. Refrigerate at least 4 hours or overnight. 10. Dust with cocoa before serving.",30 min,0 min,4 hr 30 min,8,Medium,"Use fresh eggs from a trusted source since they're raw. Chill overnight for best results."
Osso Buco,Secondi,Lombardy,"4 veal shanks (cross-cut), flour for dusting, 2 tbsp olive oil, 1 onion (diced), 1 carrot (diced), 1 celery stalk (diced), 2 cloves garlic (minced), 1 cup dry white wine, 400g canned tomatoes, beef stock, bay leaves, thyme, salt, pepper","1. Season veal shanks and dust with flour. 2. Heat oil in heavy casserole, brown shanks on all sides. Remove and set aside. 3. Add vegetables to same pan, cook until softened. 4. Add garlic, cook 1 minute. 5. Return veal to pan, add wine and let reduce. 6. Add tomatoes, herbs, and enough stock to barely cover meat. 7. Cover and braise in 160°C oven for 2-2.5 hours until meat is fork-tender. 8. Serve with risotto Milanese or polenta.",20 min,150 min,170 min,4,Hard,"Traditional accompaniment is risotto Milanese. The marrow in the bone is a delicacy."
Bruschetta,Antipasti,Central Italy,"4 slices rustic bread, 4 ripe tomatoes (diced), 2 cloves garlic, fresh basil leaves, extra virgin olive oil, salt, pepper, balsamic vinegar (optional)","1. Grill or toast bread slices until golden. 2. Rub one side of each slice with garlic clove. 3. Mix diced tomatoes with torn basil, olive oil, salt, and pepper. 4. Let tomato mixture sit 10 minutes to develop flavors. 5. Top bread with tomato mixture just before serving.",15 min,5 min,20 min,4,Easy,"Serve immediately after topping to prevent bread from getting soggy."
Lasagna Bolognese,Pasta,Emilia-Romagna,"500g ground beef, 200g ground pork, 1 onion (diced), 2 carrots (diced), 2 celery stalks (diced), 800g canned tomatoes, 500ml red wine, 500ml beef stock, 500g lasagna sheets, 1L béchamel sauce, 200g Parmigiano-Reggiano, olive oil, salt, pepper","1. Make Bolognese: sauté vegetables in oil, add meat and brown. Add wine, tomatoes, and stock. Simmer 2-3 hours. 2. Cook lasagna sheets until al dente. 3. Layer in baking dish: Bolognese, pasta, béchamel, cheese. Repeat 3-4 times. 4. Top with béchamel and cheese. 5. Bake at 180°C for 45 minutes until golden.",45 min,200 min,245 min,8,Hard,"Let rest 15 minutes before cutting. Can be made a day ahead and reheated."
Pesto Genovese,Sauce,Liguria,"50g fresh basil leaves, 2 cloves garlic, 30g pine nuts, 50g Parmigiano-Reggiano (grated), 30g Pecorino Romano (grated), 120ml extra virgin olive oil, coarse salt","1. Wash and dry basil leaves completely. 2. In mortar and pestle (traditional method), crush garlic with salt. 3. Add basil leaves gradually, crushing to release oils. 4. Add pine nuts and crush. 5. Add cheeses and mix. 6. Slowly drizzle in olive oil while mixing until smooth paste forms. 7. Alternatively, use food processor but pulse briefly to avoid heating.",20 min,0 min,20 min,6,Medium,"Never heat pesto. Always use Ligurian basil if possible. Store covered with olive oil."
Minestrone,Zuppa,Various Regions,"200g cannellini beans (soaked overnight), 2 tbsp olive oil, 1 onion (diced), 2 carrots (diced), 2 celery stalks (diced), 2 zucchini (diced), 200g green beans (chopped), 400g canned tomatoes, 1.5L vegetable stock, 100g ditalini pasta, fresh basil, Parmigiano-Reggiano, salt, pepper","1. Cook soaked beans until tender. 2. Heat oil in large pot, sauté onion, carrots, celery until soft. 3. Add zucchini and green beans, cook 5 minutes. 4. Add tomatoes, cooked beans, and stock. 5. Simmer 20 minutes. 6. Add pasta and cook until al dente. 7. Season with salt and pepper. 8. Serve with basil and grated Parmigiano.",20 min,60 min,80 min,6,Easy,"Vegetables can vary by season. Some regions add a soffritto base of garlic, herbs, and pancetta."
Gelato alla Vaniglia,Dolci,Sicily,"500ml whole milk, 200ml heavy cream, 150g sugar, 6 egg yolks, 2 vanilla beans (or 2 tsp vanilla extract), pinch of salt","1. Split vanilla beans and scrape seeds into milk with cream in saucepan. Add bean pods. 2. Heat until just beginning to simmer. 3. Whisk egg yolks with sugar until pale. 4. Gradually add hot milk mixture to yolks, whisking constantly. 5. Return to pan and cook, stirring constantly, until mixture coats spoon (80°C). 6. Strain and cool completely. 7. Churn in ice cream maker according to manufacturer's instructions. 8. Freeze until firm.",20 min,15 min,4 hr,6,Medium,"Gelato has less air than ice cream, making it denser and more flavorful."
Arancini,Antipasti,Sicily,"400g Arborio rice, 1L chicken stock, 100g Parmigiano-Reggiano, 2 eggs, 200g mozzarella (cubed), 100g peas, 100g ground meat (optional), flour, breadcrumbs, oil for frying","1. Make risotto with rice and stock, cool completely. 2. Mix in Parmigiano and 1 egg. 3. Take handful of rice, make well in center, add mozzarella cube and peas (and meat if using). 4. Shape into ball, ensuring filling is enclosed. 5. Roll in flour, beaten egg, then breadcrumbs. 6. Deep fry at 170°C until golden brown. 7. Drain on paper towels and serve hot.",45 min,20 min,65 min,6,Medium,"Can be made ahead and reheated. Originally a way to use leftover risotto."
Prosciutto di Parma with Melon,Antipasti,Emilia-Romagna,"8-12 thin slices Prosciutto di Parma, 1 ripe cantaloupe melon, freshly ground black pepper (optional)","1. Cut melon into wedges, remove seeds and rind. 2. Arrange melon on serving plate. 3. Drape prosciutto slices over melon. 4. Serve immediately with optional black pepper.",10 min,0 min,10 min,4,Easy,"Choose very ripe melon for best contrast with salty prosciutto. Never add salt."
